id,parent_id,name
645,437,Servietter
646,310,Sjokoladepålegg
648,139,Kokosmasse
649,122,Mandelmel
650,,Bakerivarer
652,308,Oregano
653,632,Melk
655,635,Grønnsaker
657,650,Rundstykker og småbrød
659,115,Bulgur
660,437,Engangservice
661,226,Kaffefløte
662,195,Grissini
664,,Kioskvarer
667,142,Lasagneplater
671,65,Hermetisk grønnsaksmix
672,,Snacks/Godteri
674,415,Vaffelrøremix
675,632,Fløte
678,70,Kinesiske pannekaker
679,132,Lasagne kit
681,226,Kremtopping
683,403,Iskake
684,249,Oregano tørket
685,,Drikkevarer
687,392,Storfetunge
688,632,Yoghurt
690,95,Matpapir
692,,Middagstilbehør
693,96,Rogn
694,692,Deiger og rører
695,249,Kardemomme
698,255,Røykeslutt
699,11,Spirer
700,5,Tapenade
701,106,Sei
702,19,Ricotta
703,,Frokost/Pålegg
704,703,Kjøttpålegg
706,134,Aspargessuppe
707,249,Spisskummen
708,105,Rakfisk
709,65,Hermetisk chili
711,226,Havrefløte
712,632,Smør og margarin
714,74,Melis
715,703,Postei og pate
717,650,Boller og småkaker
719,105,Tørket fisk
720,719,Klippfisk
722,65,Hvitløk i marinade
724,74,Søtningsstoff
725,672,Dip
726,19,Ostefat
728,5,Hvit saus
729,2,Fiken
730,16,Bleier
731,74,Kakepynt
732,70,Taco ferdig
733,346,Papirlommetørkler
734,43,Løvstek
735,128,Rømmegrøt
736,,Middag
737,736,Ferdigmåltider
739,74,Marsipan
740,74,Marengstopper
741,255,Nesespray
742,607,Tåteflaske
743,502,Neglelakk
744,156,Øvrige kaker
745,51,Klær
746,745,Sokker
748,745,Undertøy
749,82,Kokosboller
750,211,Creme brulee
751,139,Gojibær tørket
752,107,Espressomalt kaffe
753,5,Øvrig saus
754,,Personlige Artikler
755,249,Nellik
756,754,Apotekvarer
758,199,Klor
759,279,Hermetisk fruktmix
761,736,Grøt
763,5,Soppsaus
766,403,Småis
767,22,Nanbrød
768,17,Babyshampo
769,173,Svinekjøtt revet
771,134,Betasuppe
772,607,Barnebestikk
773,703,Spekemat
775,290,Kjøkkenmaskiner
776,692,Hermetisk grønt
778,692,Sauser
780,316,Trankapsler
781,,Kylling og fjærkre
782,781,Kylling
784,290,Stek og kok
785,736,Taco
787,392,Høyrygg storfe
789,249,Aromat
791,84,Fiskeboller
792,195,Minitoast
793,305,Smalahove
796,99,Matfett
797,650,Kaker
801,106,Dorade
802,,Dyreprodukter
804,380,Sjokoladesaus
805,754,Personlig hygiene
810,575,Hårspray
812,249,Vaniljestang
813,41,Mascarpone
814,,Ost
816,,Dessert
817,816,Dessertsauser
819,79,Drikkeyoghurt
820,106,Sild
821,238,Fenalår
822,249,Løkpulver
823,279,Hermetisk mandarin
824,685,Øl
827,754,Hårpleie
829,754,Tannpleie
830,177,Vaniljemelk
832,5,Fløtesaus
833,672,Snacks
836,736,Potetretter
839,74,Essens
841,51,Kontorrekvisita
842,134,Szechuansuppe
843,841,Tape
846,305,Lammestek
849,703,Fiskepålegg
851,195,Krustander
852,,Hus/Hjem Artikler
853,852,Renhold
855,635,Frosne bær og grønnsaker
857,685,Cider
859,93,Vaffelkjeks
860,816,Hermetisk frukt og bær
862,61,Pinjekjerner
863,,Barneprodukter
864,863,Babypleie
866,82,Makroner
867,195,Krutonger
868,113,Andelever
869,139,Mango tørket
870,852,Grill og ild
873,168,Lammedeig
874,156,Terte
875,19,Halloumi
876,814,Smøreoster
878,841,Skrivebok
879,164,Dessertsuppe
880,139,Tranebær tørket
881,249,Kayennepepper
883,672,Nøtter
885,692,Ketchup og sennep
887,685,Kaffe
889,57,Selskapsdressing
890,415,Pannekakemix
893,841,Gummistrikk
894,63,Smårettpølser
895,745,Skopleie
897,692,Dressinger
899,84,Fiskewok
900,380,Karamellsaus
901,,Kaker/Bakevarer
902,901,Tørket frukt og nøtter
906,841,Konvolutter
907,378,Barberblader
908,249,Chilipulver
910,736,Supper
912,171,Peiskubbe
914,255,Desinfeksjon
915,249,Kyllingkrydder
916,132,Asiatisk kit
918,74,Hornsalt
920,692,Stuinger
923,841,Lim
924,249,Provencekrydder
925,341,Sesamolje
926,378,Barberhøvel
927,719,Tørrfisksnacks
928,47,Kyllingburger
929,132,Hamburger kit
930,113,Grønnsakspostei
931,249,Karripulver
932,118,Sminke
933,932,Leppestift
934,107,Presskannemalt kaffe
935,685,Vann
938,16,Morsmelkerstatning
939,635,Poteter
941,74,Sirup
942,74,Konservering
944,26,Toddy
947,635,Sopp
949,57,Ranchdressing
950,51,Sesong og fest
951,950,Selskapsartikler
953,380,Bringebærsaus
954,841,Saks
956,852,Hus
957,950,Kakelys
959,47,Øvrig kylling
961,249,Garam Masala
962,642,Kjøttdeig og farse
963,84,Bacalao
965,156,Havreterninger
966,249,Sitronpepper
967,74,Kakedeig
968,403,Frys selv is
969,95,Mellomleggspapir
972,249,Vaniljepulver
973,57,Thousand island
974,11,Gresskar
975,122,Semulegryn
976,332,Ansiktspleie
977,575,Hårfarge
978,950,Syttende mai-artikler
980,932,Øyenbryn
981,63,Medisterpølse
982,249,Stjerneanis
984,249,Hvitløkspepper
985,249,Dill tørket
986,88,Ingefærøl
987,238,Nduja
988,77,Potetbåter
991,65,Hermetisk paprika
992,745,Strømper
993,249,Einerbær
994,276,Kålrabistappe
995,316,Fruktsalt
996,249,Koriander tørket
998,316,Måltidserstatter
999,74,Bakekakao
1000,164,Proteinpudding
1003,74,Cocktailbær
1004,,Blomster og planter
1005,1004,Plantejord
1006,65,Kapers
1007,26,Ferdigdrink
1008,841,Penn
1009,13,Vegansk pålegg
1010,57,Dressingmix
1011,82,Smultringer
1012,249,Pizzakrydder
1013,316,Ølgjær
1014,754,Hudpleie
1015,199,Luftfrisker
1017,211,Mandelpudding
1018,164,Desserttopping
1020,816,Is
1022,70,Grillspyd
1024,901,Bakemixer
1026,305,Lammebog
1027,392,Storfelever
1028,249,Kanel
1031,316,Nypeekstrakt
1032,249,Safran
1034,304,Sitronmousse
1037,289,Elg
1038,43,Kjøttkaker
1041,41,Tofu
1044,5,Matvin
1045,249,Ingefær tørket
1046,2,Kokosnøtter
1047,70,Blodpølse
1049,255,Allergimidler
1050,736,Pizza
1052,134,Minestronesuppe
1054,,Fisk/Skalldyr
1055,1054,Fisk
1057,74,Kakekrem
1058,46,Rype
1059,11,Aubergin
1060,65,Hermetisk artisjokk
1061,17,Babyolje
1063,664,Lesestoff
1068,901,Baking
1070,156,Moussekake
1071,195,Terteskjell
1072,607,Stellematte
1075,195,Papadam
1077,279,Hermetisk pære
1078,814,Guloster
1080,841,Tusj
1081,249,Fiskekrydder
1082,17,Sinksalve
1084,415,Cookiesmix
1086,195,Rugchips
1087,332,Håndkrem
1088,642,Svinekjøtt
1090,9,Risdrikk
1094,632,Plantebasert drikke
1096,380,Kirsebærsaus
1098,816,Dessertpuddinger
1101,392,Storfe kraftbein
1102,106,Isgalt
1103,74,Vaniljekrem
1105,513,Wasabi
1106,122,Griljermel
1109,950,Ballonger
1110,745,Vaskenett
1111,249,Viltkrydder
1113,249,Estragon tørket
1114,130,Øvrig taco
1117,11,Mais
1120,415,Bakemix
1121,255,Kondomer
1122,692,Krydder
1126,703,Frokostblandinger og musli
1128,901,Kjeks
1130,17,Babysåpe
1131,156,Pavlova
1136,159,Bjørnebær
1139,209,Skalldyr i lake
1140,17,Tørre engangskluter
1141,276,Kålstuing
1142,692,Matoljer
1144,5,Ajvar
1146,380,Mangosaus
1147,736,Fiskeretter
1149,305,Lammeskav
1150,415,Pavlovamix
1151,,Barn
1152,1151,Babypleie
1156,26,Drinkmix
1157,1156,Brennevinessens
1158,19,Pultost
1159,736,Pasta
1161,139,Fiken tørket
1162,932,Mascara
1163,533,Alkoholfri cider
1165,852,Sesong og fest
1167,841,Hyssing
1168,2,Pitahaya
1170,249,Tandoori Masala
1171,17,Babypudder
1174,852,"Poser, papir og folie"
1176,106,Abbor
1177,,BABYPLEIE/BARN/BABYLEKER
1182,392,Oksehaler
1183,852,Kontorrekvisita
1185,308,Karse
1186,226,Soyafløte
1189,74,Kakebunn
1190,249,Persille tørket
1191,403,Mochi-is
1193,77,Marinerte poteter
1194,692,Linser og frø
1197,745,Klesrulle
1198,575,Hårskum
1199,47,Kyllinglever
1201,703,Søtpålegg
1204,113,Viltpate
1206,305,Øvrig lammekjøtt
1207,1156,Drinkmix
1211,57,Balsamicodressing
1212,95,Poseklemme
1214,57,Chipotlemajones
1215,93,Iskjeks
1216,607,Ammeinnlegg
1217,736,Middag kit
1220,255,Sårbehandling
1221,341,Kokosolje
1224,70,Matkasse
1225,,Ost
1226,1225,Guloster
1229,,Fisk og skalldyr
1230,1229,Fisk
1231,74,Konditorfarge
1234,,Meieri og egg
1235,1234,Smør og margarin
1237,171,Tennvæske
1238,,Middagstilbehør
1239,1238,Stuinger
1241,289,Hjort
1242,61,Yoghurtnøtter
1243,,Hygiene og helse
1244,1243,Hårpleie
1247,,Middag
1249,1247,Middag kit
1250,575,Tørrshampo
1252,,Hus og hjem
1253,802,Dyreartikler
1254,1252,Borddekning
1258,852,Klesvask
1259,,Drikke
1260,692,Salt og pepper
1263,1259,Vann
1266,,Kioskvarer
1269,122,Maismel
1270,1252,Kjøkken
1272,,Brød og bakervarer
1276,305,Lammecarre
1277,,Snacks/Godteri
1278,1277,Nøtter
1281,1259,Øl
1284,932,Pudder
1285,,Middagstilbehør
1286,1285,Hermetisk grønt
1288,,Frukt og grønt
1289,1288,Bær
1291,607,Smekke
1297,1234,Yoghurt
1300,,Barneprodukter
1302,1252,Grill og ild
1304,1238,Kraft og buljong
1308,901,Mel og gryn
1310,156,Fyrstekake
1311,,Fersk Frukt/Grønt
1312,1311,Grønnsaker
1315,,Kaker/Bakevarer
1316,1315,Mel og gryn
1319,,Personlige Artikler
1320,1319,Hudpleie
1323,,Drikkevarer
1324,1323,Øl
1326,,Pålegg og frokost
1327,1326,Frokostblandinger og musli
1330,19,Øvrig ost
1331,1243,Bind og tamponger
1336,841,Øvrig kontorrekvisita
1337,47,Kylling revet
1338,1300,Babypleie
